               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.038094,            0.051716,            0.010032,             0.87371,             0.43603,             0.54067,              0.2834,            0.047752,            0.079704,            0.014944,            0.006601,            0.006601,            0.006601
                 105,            0.041659,            0.052577,            0.011076,             0.74265,             0.57849,             0.62512,             0.31115,            0.041179,            0.080822,            0.014963,            0.006568,            0.006568,            0.006568
                 106,            0.040168,            0.054022,            0.010574,             0.68447,              0.5941,             0.59543,              0.2918,            0.047348,            0.081966,            0.014716,            0.006535,            0.006535,            0.006535
                 107,            0.040549,            0.051812,            0.010783,             0.66202,             0.58161,             0.57697,               0.268,            0.047525,            0.080475,            0.014513,            0.006502,            0.006502,            0.006502
                 108,            0.041101,            0.052229,            0.010998,             0.48071,              0.5538,                0.58,             0.30764,             0.04125,            0.079866,            0.014596,            0.006469,            0.006469,            0.006469
                 109,             0.03845,            0.050183,            0.011183,             0.71486,             0.53075,             0.57129,             0.25294,            0.048547,            0.079859,            0.014267,            0.006436,            0.006436,            0.006436
                 110,            0.040811,            0.053214,           0.0099738,             0.68909,             0.58508,             0.59031,             0.30602,            0.047138,            0.080805,            0.013874,            0.006403,            0.006403,            0.006403
                 111,            0.041088,             0.04802,           0.0094448,              0.7022,             0.58347,             0.59555,             0.30985,            0.041951,            0.080185,            0.014034,             0.00637,             0.00637,             0.00637
                 112,            0.037091,            0.050061,             0.01001,              0.6947,             0.59131,             0.61973,             0.30549,            0.044062,            0.080143,            0.013733,            0.006337,            0.006337,            0.006337
                 113,            0.040026,             0.05243,            0.010735,             0.69754,             0.60245,             0.63167,             0.32961,             0.04111,            0.078691,            0.013869,            0.006304,            0.006304,            0.006304
                 114,            0.039119,            0.052805,           0.0098893,             0.83326,              0.5357,             0.62153,             0.27788,            0.043811,            0.080114,            0.013551,            0.006271,            0.006271,            0.006271
                 115,            0.036402,             0.05276,           0.0095557,             0.65349,             0.60642,             0.61157,             0.31055,            0.044417,            0.078821,            0.013704,            0.006238,            0.006238,            0.006238
                 116,            0.039907,            0.052817,           0.0096029,             0.70482,             0.59063,             0.61362,             0.32394,            0.041507,             0.07922,            0.013832,            0.006205,            0.006205,            0.006205
                 117,            0.038254,            0.050777,           0.0098681,             0.60756,             0.60142,             0.57845,             0.27276,            0.047632,            0.080105,            0.013572,            0.006172,            0.006172,            0.006172
                 118,             0.03807,            0.051638,           0.0087418,             0.64949,             0.54474,             0.57015,             0.27843,            0.045309,            0.079079,            0.014005,            0.006139,            0.006139,            0.006139
                 119,            0.040835,            0.052705,            0.010013,             0.59948,             0.55327,             0.56914,             0.28356,            0.043301,            0.079704,            0.013771,            0.006106,            0.006106,            0.006106
                 120,             0.03761,            0.051965,            0.010004,             0.68963,             0.58766,             0.61779,             0.26687,             0.04483,            0.081966,            0.013661,            0.006073,            0.006073,            0.006073
                 121,            0.039882,            0.051573,           0.0079301,             0.67594,             0.59189,             0.63398,             0.29911,            0.042825,            0.081259,            0.013468,             0.00604,             0.00604,             0.00604
                 122,            0.039374,            0.048886,           0.0087923,             0.69074,             0.56923,             0.62695,             0.29456,            0.043451,            0.081627,            0.013842,            0.006007,            0.006007,            0.006007
                 123,            0.039298,            0.049946,            0.009404,             0.71378,             0.56218,              0.6292,              0.3019,            0.042433,            0.083195,            0.013932,            0.005974,            0.005974,            0.005974
                 124,            0.040092,            0.053588,           0.0090998,             0.63443,             0.53731,             0.59897,             0.29925,             0.04516,            0.083391,            0.013696,            0.005941,            0.005941,            0.005941
                 125,            0.038766,            0.050081,            0.010035,             0.68828,             0.57162,             0.62513,             0.28223,            0.046744,            0.081175,            0.013743,            0.005908,            0.005908,            0.005908
                 126,            0.040194,            0.052673,           0.0089559,             0.63172,             0.53116,             0.58823,             0.28853,            0.044725,            0.080179,            0.013525,            0.005875,            0.005875,            0.005875
                 127,             0.03983,            0.053576,           0.0099039,             0.62005,             0.59131,             0.62249,             0.33787,            0.042201,            0.079494,            0.013354,            0.005842,            0.005842,            0.005842
                 128,            0.035652,            0.052213,           0.0094019,             0.56556,             0.59777,              0.5797,             0.27317,            0.045318,            0.080898,            0.013046,            0.005809,            0.005809,            0.005809
                 129,            0.039347,            0.050348,           0.0094214,             0.61238,             0.58881,             0.58304,             0.29003,            0.042877,            0.081087,            0.013141,            0.005776,            0.005776,            0.005776
                 130,            0.040554,            0.052343,           0.0087768,             0.63448,             0.59287,             0.59915,              0.2786,            0.045246,            0.082031,            0.013024,            0.005743,            0.005743,            0.005743
                 131,            0.038136,            0.051059,           0.0086315,             0.64212,             0.57212,             0.56865,             0.27626,            0.047086,            0.081911,            0.013304,             0.00571,             0.00571,             0.00571
                 132,            0.039224,            0.049319,            0.008442,             0.67874,             0.55167,             0.59056,             0.29399,            0.041813,            0.081261,            0.013525,            0.005677,            0.005677,            0.005677
                 133,            0.036032,            0.049646,           0.0088048,             0.61834,             0.56629,             0.58081,             0.28577,            0.046275,            0.082056,            0.013529,            0.005644,            0.005644,            0.005644
                 134,            0.037468,            0.049317,            0.007772,              0.6389,             0.59764,             0.59641,             0.29848,            0.045132,            0.082176,            0.013295,            0.005611,            0.005611,            0.005611
                 135,            0.038711,            0.048801,           0.0091021,             0.63606,             0.61495,             0.60833,             0.30511,            0.042545,            0.080353,            0.013411,            0.005578,            0.005578,            0.005578
                 136,            0.034792,            0.049836,           0.0081878,             0.65709,             0.59081,             0.60579,             0.30184,            0.044474,            0.080919,            0.013003,            0.005545,            0.005545,            0.005545
                 137,            0.037033,            0.047499,           0.0088694,             0.71627,             0.63546,             0.68872,             0.35277,            0.042297,            0.079535,             0.01305,            0.005512,            0.005512,            0.005512
                 138,            0.037156,            0.051658,           0.0085949,             0.70921,             0.59354,             0.65652,             0.32679,            0.043159,            0.079628,            0.012937,            0.005479,            0.005479,            0.005479
                 139,            0.034504,             0.04712,           0.0084558,              0.6592,             0.65307,             0.61303,             0.31514,            0.043935,            0.081173,            0.013173,            0.005446,            0.005446,            0.005446
                 140,            0.037181,            0.049021,           0.0081803,             0.71411,             0.66728,             0.66493,             0.33512,            0.041844,            0.080967,            0.013094,            0.005413,            0.005413,            0.005413
                 141,             0.03434,             0.04851,           0.0076158,             0.61222,             0.63547,             0.58035,             0.30237,            0.046914,             0.08231,            0.012854,             0.00538,             0.00538,             0.00538
                 142,            0.036396,            0.047372,           0.0081498,             0.63328,             0.59504,             0.59257,             0.32025,            0.045371,            0.084545,             0.01315,            0.005347,            0.005347,            0.005347
                 143,            0.037281,            0.047321,           0.0082347,             0.66652,             0.54184,             0.58616,             0.34582,            0.041712,            0.084236,            0.013288,            0.005314,            0.005314,            0.005314
                 144,            0.033458,            0.048777,           0.0075443,             0.67204,             0.51898,             0.59799,             0.28915,            0.045415,            0.085526,            0.012992,            0.005281,            0.005281,            0.005281
                 145,            0.035958,            0.049128,           0.0079613,             0.66167,             0.57794,             0.59515,              0.3238,            0.043306,            0.084299,             0.01305,            0.005248,            0.005248,            0.005248
                 146,            0.036242,            0.047088,           0.0074069,             0.68089,                0.56,             0.59862,             0.30535,             0.04391,            0.083403,            0.012978,            0.005215,            0.005215,            0.005215
                 147,            0.035666,            0.048157,           0.0076758,             0.53509,             0.55466,             0.59858,             0.30947,            0.043536,            0.083405,            0.012704,            0.005182,            0.005182,            0.005182
                 148,            0.037602,            0.052108,           0.0084009,             0.52266,             0.57531,             0.60918,             0.33697,            0.044077,            0.082346,            0.012492,            0.005149,            0.005149,            0.005149
                 149,            0.036591,             0.04954,           0.0073479,             0.50622,              0.5753,              0.5975,             0.29848,            0.042963,             0.08252,            0.012786,            0.005116,            0.005116,            0.005116
                 150,            0.034706,            0.047421,           0.0081261,             0.54814,             0.62415,             0.61909,             0.28998,            0.042649,            0.080963,            0.012755,            0.005083,            0.005083,            0.005083
                 151,             0.03825,            0.049786,           0.0074003,             0.48188,             0.59813,             0.59933,             0.32256,            0.042246,            0.081083,            0.012575,             0.00505,             0.00505,             0.00505
                 152,             0.03269,            0.049222,           0.0077522,             0.53198,             0.58011,             0.58169,             0.29151,            0.042438,            0.081451,             0.01239,            0.005017,            0.005017,            0.005017
                 153,            0.035522,            0.047089,           0.0071504,             0.55185,             0.60894,             0.61432,             0.29292,            0.041411,            0.081587,            0.012443,            0.004984,            0.004984,            0.004984
                 154,            0.037839,            0.050785,           0.0069627,             0.71867,             0.57262,              0.6176,             0.30675,            0.044133,            0.082937,            0.012414,            0.004951,            0.004951,            0.004951
                 155,            0.033969,            0.047529,           0.0075647,             0.54593,             0.62282,              0.6092,             0.30395,             0.04551,            0.083099,            0.012454,            0.004918,            0.004918,            0.004918
                 156,            0.037399,            0.049824,           0.0079413,             0.57405,             0.61537,             0.61675,             0.31151,            0.040187,            0.082024,            0.012636,            0.004885,            0.004885,            0.004885
                 157,            0.034657,            0.048735,           0.0073332,             0.73605,             0.55743,             0.59846,             0.26888,            0.045908,            0.082569,            0.012949,            0.004852,            0.004852,            0.004852
                 158,            0.035795,            0.048532,           0.0073192,             0.55314,             0.60203,             0.59417,             0.30297,            0.042919,            0.080685,             0.01309,            0.004819,            0.004819,            0.004819
                 159,            0.036277,            0.050713,           0.0070548,             0.58665,               0.613,               0.615,             0.30192,            0.040612,            0.079479,            0.013256,            0.004786,            0.004786,            0.004786
                 160,            0.033614,            0.049239,           0.0080791,             0.54613,             0.66207,             0.62039,             0.30886,            0.041637,            0.079157,              0.0127,            0.004753,            0.004753,            0.004753
                 161,            0.034067,            0.051704,           0.0074805,             0.68248,             0.52032,             0.57316,             0.29029,            0.040831,            0.079168,            0.012604,             0.00472,             0.00472,             0.00472
                 162,            0.033627,            0.046359,           0.0068108,             0.58451,             0.61054,             0.62839,             0.31031,            0.041632,            0.079489,            0.012465,            0.004687,            0.004687,            0.004687
                 163,            0.032436,            0.047235,           0.0075264,             0.50056,             0.58192,             0.56698,             0.30873,            0.041948,            0.079752,            0.012444,            0.004654,            0.004654,            0.004654
